Brand,Processor,RAM(GB),Storage(GB),Screen Size(inch),Condition,Warranty
Lenovo,Core i5 10th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 12th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD APU Quad Core A12,4,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 7th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD A8,8,256,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 10th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16,1024,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i3 5th Gen,8,256,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Snapdragon X Elite X1E-78-100,16,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Celeron,8,256,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 7th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Pentium Silver,8,256,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 10th Gen,16,256,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,32,1024,34.2,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 11th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,AMD RYZEN 5,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,AMD RYZEN 5,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 10th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,AMD RYZEN 7,16,1024,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD ATHLON,8,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,8,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 9th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 13th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,512,34.2,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 13th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,1024,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 10th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,AMD RYZEN 7,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,AMD RYZEN 7,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,512,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 9th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Intel Core Ultra 7 155H,32,2048,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 12th Gen,16,512,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 12th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,1024,34.2,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 3,8,256,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 9,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i9 13th Gen,32,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 12th Gen,16,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 13th Gen,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 10th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 11th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 9,32,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,32,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,512,43.9,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 7th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i3 8th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 3,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 13th Gen,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,1024,43.9,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 12th Gen,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i9 13th Gen,32,1024,43.9,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i7 13th Gen,32,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 3,4,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 13th Gen,16,512,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 9th Gen,8,500,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Dell,Core i5 10th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
