Brand,Processor,RAM(GB),Storage(GB),Screen Size(inch),Condition,Warranty,Predicted Price
Lenovo,Core i5 10th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,28916.213499999998
Lenovo,Core i5 12th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,46039.925
HP,AMD APU Quad Core A12,4,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,29633.7
HP,Core i5 7th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
HP,AMD A8,8,256,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,19576.459642857142
HP,Core i5 11th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,28916.213499999998
Lenovo,Core i5 10th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
HP,AMD RYZEN 7,16,1024,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,51564.725
HP,Core i3 5th Gen,8,256,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,19576.459642857142
HP,AMD RYZEN 5,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47744.16533333332
HP,Core i7 12th Gen,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47460.735
HP,Core i7 11th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,46039.925
HP,AMD RYZEN 7,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,28916.213499999998
HP,Snapdragon X Elite X1E-78-100,16,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,50162.835
HP,Celeron,8,256,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,19612.196666666667
HP,AMD RYZEN 5,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,28916.213499999998
HP,AMD RYZEN 7,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
Lenovo,Core i7 7th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,29234.755
HP,Pentium Silver,8,256,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,19612.196666666667
HP,AMD RYZEN 5,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
Lenovo,Core i5 10th Gen,16,256,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,46546.40166666667
HP,Core i7 13th Gen,32,1024,34.2,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,62985.87833333334
HP,AMD RYZEN 7,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,46039.925
HP,Core i7 13th Gen,16,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,75087.39223809526
