Brand,Processor,RAM(GB),Storage(GB),Screen Size(inch),Condition,Warranty
Lenovo,Core i5 10th Gen,8 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 12th Gen,16 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD APU Quad Core A12,4 GB,1 TB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 7th Gen,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,N/A,4 GB,64 GB,29.4 cm (11.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD A8,8 GB,256 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i5 11th Gen,8 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
Lenovo,Core i5 10th Gen,8 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,1 TB,33.7 cm (13.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i3 5th Gen,8 GB,256 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,16 GB,512 GB,39.6 cm (15.6 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 12th Gen,16 GB,512 GB,33.7 cm (13.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Core i7 11th Gen,16 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,8 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Snapdragon X Elite X1E-78-100,16 GB,1 TB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 7,16 GB,1 TB,33.7 cm (13.3 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,Celeron,8 GB,256 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
HP,AMD RYZEN 5,8 GB,512 GB,35.5 cm (14 inch),Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.
